Name,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
Aaliyah,,,,,,,,,,,4657
Abigail,,,,,,,,,3719,13087,14228
Ada,960,,,,,,,,,,
Addison,,,,,,,,,,,10317
Agnes,2163,4907,,,,,,,,,
Alexa,,,,,,,,,,3674,5036
Alexandra,,,,,,,,,8506,7545,4016
Alexandria,,,,,,,,,3594,3547,
Alexis,,,,,,,,,5255,17627,8249
Alice,4671,11596,9517,7601,6361,,,,,,
Alicia,,,,,,,,5750,6510,,
Allison,,,,,,,,4868,7130,6314,5858
Alma,1630,3584,,,,,,,,,
Alyssa,,,,,,,,,11261,13552,6978
Amanda,,,,,,,,35820,34406,8549,
Amber,,,,,,,,12554,15863,6181,
Amelia,,,,,,,,,,,5452
Amy,,,,,,5971,25212,19832,8456,,
Andrea,,,,,,,7705,10450,8210,5475,3567
Angela,,,,,,8680,24924,17968,6664,3822,
Angelina,,,,,,,,,,,3130
Anita,,,,2827,3571,5636,,,,,
Ann,1842,5040,5531,7193,7926,8677,5736,,,,
Anna,6436,14582,9080,4718,3815,,,5030,7288,10580,6312
Anne,1413,4114,3094,2898,4458,5632,,,,,
Annette,,,,,,7139,,,,,
Annie,3519,7265,5753,4214,,,,,,,
April,,,,,,,4602,11470,4570,,
Ariana,,,,,,,,,,,3465
Arianna,,,,,,,,,,,4832
Ariel,,,,,,,,,3604,,
Arlene,,,,3258,,,,,,,
Ashley,,,,,,,,7295,45549,17995,6305
Aubrey,,,,,,,,,,,5354
Audrey,,,4130,2502,,,,,,,4948
Autumn,,,,,,,,,,4024,3508
Ava,,,,,,,,,,,15418
Avery,,,,,,,,,,,6670
Bailey,,,,,,,,,,4647,3586
Barbara,,5106,18281,36732,41558,24444,8025,,,,
Beatrice,2459,5803,3392,,,,,,,,
Bella,,,,,,,,,,,5109
Bernice,1720,5928,4433,,,,,,,,
Bertha,2651,4603,2603,,,,,,,,
Bessie,2392,3904,,,,,,,,,
Beth,,,,,,6260,4248,,,,
Betty,1389,14017,38237,22074,13615,6503,,,,,
Beulah,1131,,,,,,,,,,
Beverly,,,6458,8654,10511,7394,,,,,
Bianca,,,,,,,,,3826,,
Billie,,,3241,,,,,,,,
Blanche,1288,,,,,,,,,,
Bonnie,,,3268,5959,9745,6393,,,,,
Brandi,,,,,,,,4704,,,
Brandy,,,,,,,,6410,,,
Breanna,,,,,,,,,,3823,
Brenda,,,,5441,20793,23956,8335,,,,
Briana,,,,,,,,,,3754,
Brianna,,,,,,,,,5678,12873,6267
Brittany,,,,,,,,,36535,5182,
Brittney,,,,,,,,,7428,,
Brooke,,,,,,,,4953,4988,5640,3699
Brooklyn,,,,,,,,,,,6112
Caitlin,,,,,,,,,7025,4102,
Camila,,,,,,,,,,,4300
Candice,,,,,,,,3010,,,
Carla,,,,,,,4213,,,,
Carol,,,4598,21759,26159,17463,5066,,,,
Carole,,,,4788,,,,,,,
Caroline,,,,,,,,,,5021,3353
Carolyn,,,3725,12656,15597,9409,4519,,,,
Carrie,1381,,,,,,4975,5763,,,
Cassandra,,,,,,,,,7053,3304,
Catherine,3161,8877,6300,4581,9655,9536,6008,4081,4892,3800,
Cathy,,,,,5031,9138,,,,,
Charlotte,896,3623,3407,4289,4736,,,,,,5354
Chelsea,,,,,,,,,12782,,
Cheryl,,,,,11823,19128,7440,,,,
Cheyenne,,,,,,,,,,3366,
Chloe,,,,,,,,,,7094,11741
Christina,,,,,,,9587,16136,11925,4321,
Christine,,,,,12676,9880,16059,7085,5673,,
Christy,,,,,,,,3674,,,
Cindy,,,,,,14950,5048,,,,
Claire,,,,,,,,,,3710,4914
Clara,2665,5469,4122,,,,,,,,
Connie,,,,2795,8151,8875,,,,,
Constance,,,,,4442,,,,,,
Cora,1079,,,,,,,,,,
Courtney,,,,,,,,5615,15377,5239,
Crystal,,,,,,,,14258,8218,,
Cynthia,,,,,14449,26725,12921,4699,3794,,
Dana,,,,,,,6409,4438,,,
Danielle,,,,,,,,8844,14330,6087,
Darlene,,,,3120,4832,6100,,,,,
Dawn,,,,,,7813,15679,4478,,,
Deanna,,,,,,,4331,,,,
Debbie,,,,,,17053,,,,,
Deborah,,,,,29071,25273,9852,,,,
Debra,,,,,6181,26737,7200,,,,
Delores,,,4097,2929,,,,,,,
Denise,,,,,4519,15070,9343,3147,,,
Destiny,,,,,,,,,,9844,3719
